2020-12-18 19:05:58,011 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2020-12-18 19:45:13,150 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/services/cn.edu.ecnu.providerOne.service.IAdviceService/providers, dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:45:14,798 [http-nio-7001-exec-8] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/services, dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:45:14,842 [http-nio-7001-exec-9] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/services/cn.edu.ecnu.providerOne.service.IAdviceService/providers, dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:45:18,782 [http-nio-7001-exec-4] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:45:20,449 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/services, dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:45:23,069 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/nav_pass.png, dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:45:23,601 [http-nio-7001-exec-7] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:46:37,197 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.61.1/cn.edu.ecnu.providerOne.service.IAdviceService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=cn.edu.ecnu.providerOne.service.IAdviceService&version=*, urls: [dubbo://192.168.61.1:20881/cn.edu.ecnu.providerOne.service.IAdviceService?anyhost=true&application=dubbo-providerTwo&dubbo=2.0.2&generic=false&interface=cn.edu.ecnu.providerOne.service.IAdviceService&loadbalance=random&methods=insertAdvice&pid=2972&retries=0&side=provider&timeout=6000&timestamp=1608291650400, dubbo://192.168.61.1:20880/cn.edu.ecnu.providerOne.service.IAdviceService?anyhost=true&application=dubbo-providerOne&dubbo=2.0.2&generic=false&interface=cn.edu.ecnu.providerOne.service.IAdviceService&loadbalance=random&methods=insertAdvice&pid=1896&retries=0&side=provider&timeout=6000&timestamp=1608291992074], dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:46:57,683 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.61.1/cn.edu.ecnu.providerOne.service.IAdviceService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=cn.edu.ecnu.providerOne.service.IAdviceService&version=*, urls: [dubbo://192.168.61.1:20880/cn.edu.ecnu.providerOne.service.IAdviceService?anyhost=true&application=dubbo-providerOne&dubbo=2.0.2&generic=false&interface=cn.edu.ecnu.providerOne.service.IAdviceService&loadbalance=random&methods=insertAdvice&pid=1896&retries=0&side=provider&timeout=6000&timestamp=1608291992074], dubbo version: 2.6.2, current host: 192.168.61.1
2020-12-18 19:54:26,443 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.61.1/cn.edu.ecnu.providerTwo.service.IAdviceService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=cn.edu.ecnu.providerTwo.service.IAdviceService&version=*, dubbo version: 2.6.2, current host: 192.168.61.1
